resource_id	source_id	file_name	file_role_candidate	detected_format	local_path	byte_size	repeat_annotation_status	repeat_feature_count	inspection_method	notes
SMIC_TOKYO_GENOME_2025	PNAS_YANG_2026_FIGSHARE_ANNOTATION	complete.cds.fna	coding_sequence_fasta	nucleotide_fasta	data\raw\references\SMIC_TOKYO_GENOME_2025\figshare_annotation\greenland shark annotation\complete.cds.fna	63087588	NOT_REPEAT_ANNOTATION_CANDIDATE	NOT_ASSESSED	filename_and_format_screen	File does not have a repeat-annotation filename or supported repeat-annotation format signal.
SMIC_TOKYO_GENOME_2025	PNAS_YANG_2026_FIGSHARE_ANNOTATION	complete.genomic.gff	annotation_gff	gff3	data\raw\references\SMIC_TOKYO_GENOME_2025\figshare_annotation\greenland shark annotation\complete.genomic.gff	211277360	NO_REPEAT_FEATURES_DETECTED	0	gff_repeat_feature_scan	GFF/GFF3 was scanned for repeat-like feature types and repeat attributes; none were detected in the inspected scope. Candidate-window filtering and sequence-id normalization were applied.
SMIC_TOKYO_GENOME_2025	PNAS_YANG_2026_FIGSHARE_ANNOTATION	complete.proteins.faa	genome_annotation_protein_fasta	protein_fasta	data\raw\references\SMIC_TOKYO_GENOME_2025\figshare_annotation\greenland shark annotation\complete.proteins.faa	19109010	NOT_REPEAT_ANNOTATION_CANDIDATE	NOT_ASSESSED	filename_and_format_screen	File does not have a repeat-annotation filename or supported repeat-annotation format signal.
SMIC_TOKYO_GENOME_2025	PNAS_YANG_2026_FIGSHARE_ANNOTATION	trinity_out_dir.Trinity.fasta.transdecoder.pep	transcriptome_transdecoder_peptide_fasta	protein_fasta	data\raw\references\SMIC_TOKYO_GENOME_2025\figshare_annotation\greenland shark annotation\trinity_out_dir.Trinity.fasta.transdecoder.pep	22301609	NOT_REPEAT_ANNOTATION_CANDIDATE	NOT_ASSESSED	filename_and_format_screen	File does not have a repeat-annotation filename or supported repeat-annotation format signal.
SMIC_TOKYO_GENOME_2025	PNAS_YANG_2026_FIGSHARE_ANNOTATION	greenland shark annotation.zip	source_archive	zip	data\raw\references\SMIC_TOKYO_GENOME_2025\figshare_annotation\greenland shark annotation.zip	315776371	ARCHIVE_RETAINED_NOT_PARSED	NOT_ASSESSED	filename_and_format_screen	Source archive is retained for provenance; extracted contents are inspected separately.
SMIC_TOKYO_GENOME_2025	CONFIG_EXPLICIT_REPEAT_ANNOTATION	smic_tokyo.repeatmasker.out.gff	explicit_repeat_annotation	gff3	results\repeats\phase5b\smic_tokyo.repeatmasker.out.gff	1174925950	REPEAT_ANNOTATION_AVAILABLE	1204	gff_repeat_feature_scan	GFF/GFF3 contains parseable repeat-like features. Candidate-window filtering and sequence-id normalization were applied.
