resource_id	bioproject	sra_study	experiment	run	biosample	sample	sample_name	scientific_name	taxon_id	sex	tissue	library_strategy	library_source	library_selection	library_layout	platform	model	spots	bases	avg_length	size_mb	release_date	load_date	download_path	source_url	retrieval_date	local_path	download_status	metadata_status	usage_notes
SMIC_RETINA_PRJNA1246101_2026	PRJNA1246101	SRP576249	SRX28238856	SRR32965275	SAMN47762445	SRS24586704	Greenland_shark_retina_GS24_12	Somniosus microcephalus	191813	male	retina	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	91728255	18439879772	201	5410	2025-10-27 10:50:12	2025-04-03 09:05:24	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR032/32965/SRR32965275/SRR32965275.lite.1	https://www.ncbi.nlm.nih.gov/sra?from_uid=1246101&linkname=bioproject_sra_all	2026-06-12	data\raw\rnaseq\SMIC_RETINA_PRJNA1246101_2026\SRR32965275.sra	RAW_READS_NOT_DOWNLOADED_PHASE7A_METADATA_ONLY	RUNINFO_METADATA_REGISTERED	RunInfo metadata only. Do not use as expression evidence until reads or processed counts are analyzed with a documented workflow.
SMIC_RETINA_PRJNA1246101_2026	PRJNA1246101	SRP576249	SRX28238854	SRR32965277	SAMN47762443	SRS24586705	Greenland_shark_retina_GS24_6	Somniosus microcephalus	191813	male	retina	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	76023909	15262390117	200	4826	2025-10-27 10:50:13	2025-04-03 09:08:27	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR032/32965/SRR32965277/SRR32965277.lite.1	https://www.ncbi.nlm.nih.gov/sra?from_uid=1246101&linkname=bioproject_sra_all	2026-06-12	data\raw\rnaseq\SMIC_RETINA_PRJNA1246101_2026\SRR32965277.sra	RAW_READS_NOT_DOWNLOADED_PHASE7A_METADATA_ONLY	RUNINFO_METADATA_REGISTERED	RunInfo metadata only. Do not use as expression evidence until reads or processed counts are analyzed with a documented workflow.
SMIC_RETINA_PRJNA1246101_2026	PRJNA1246101	SRP576249	SRX28238855	SRR32965276	SAMN47762444	SRS24586703	Greenland_shark_retina_GS24_9	Somniosus microcephalus	191813	female	retina	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina NovaSeq 6000	79073635	15903603370	201	4719	2025-10-27 10:50:12	2025-04-03 09:04:14	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR032/32965/SRR32965276/SRR32965276.lite.1	https://www.ncbi.nlm.nih.gov/sra?from_uid=1246101&linkname=bioproject_sra_all	2026-06-12	data\raw\rnaseq\SMIC_RETINA_PRJNA1246101_2026\SRR32965276.sra	RAW_READS_NOT_DOWNLOADED_PHASE7A_METADATA_ONLY	RUNINFO_METADATA_REGISTERED	RunInfo metadata only. Do not use as expression evidence until reads or processed counts are analyzed with a documented workflow.
SMIC_RETINA_PRJNA1246101_2026	PRJNA1246101	SRP576249	SRX28238857	SRR32965274	SAMN47762446	SRS24586706	Greenland_shark_retina__Shark3	Somniosus microcephalus	191813	unknown	retina	WGS	GENOMIC	other	PAIRED	ILLUMINA	Illumina NovaSeq 6000	708443237	213949857574	302	66541	2025-10-27 10:50:11	2025-04-03 10:38:17	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR032/32965/SRR32965274/SRR32965274.lite.1	https://www.ncbi.nlm.nih.gov/sra?from_uid=1246101&linkname=bioproject_sra_all	2026-06-12	data\raw\rnaseq\SMIC_RETINA_PRJNA1246101_2026\SRR32965274.sra	RAW_READS_NOT_DOWNLOADED_PHASE7A_METADATA_ONLY	RUNINFO_METADATA_REGISTERED	RunInfo metadata only. Do not use as expression evidence until reads or processed counts are analyzed with a documented workflow.
