output_id	file_role	local_path	status	byte_size	md5	sha256	recommended_for_phase5_import	notes
repeatmodeler_library	custom_repeat_library	results\repeats\phase5b\smic_tokyo-families.fa	LOCAL_AVAILABLE	1565696	135C013025BB517D5762CFF908F7FBD2	9082BA9B6A54AD75836B1341C7F91681D0943D6905664F31ACBF774F93CA9F09	false	Generated by RepeatModeler; used as RepeatMasker input.
repeatmasker_gff	repeat_annotation_gff	results\repeats\phase5b\smic_tokyo.repeatmasker.out.gff	LOCAL_AVAILABLE	1174925950	4A1481FF4E2D1B6AC709ACAA4BE026D9	51ED6E9E9E60DE8BEE9B002307FB2AB35E3560B0713648ED64BB3EB6B5F16430	true	Preferred Phase 5 import once present.
repeatmasker_out	repeatmasker_raw_out	results\repeats\phase5b\smic_tokyo.repeatmasker.out	LOCAL_AVAILABLE	1364227690	2DCBFD813858A5507107A2358D26C27D	9FB0746A5760914721A3A6390C0E4C5BC3B12E5F53F5ECB3C5E48817F9FEC447	false	Raw RepeatMasker interval table retained for provenance.
repeatmasker_tbl	repeatmasker_summary_table	results\repeats\phase5b\smic_tokyo.repeatmasker.tbl	EXPECTED_NOT_PRESENT	NOT_ASSESSED	NOT_ASSESSED	NOT_ASSESSED	false	Genome-wide repeat class summary if produced.
